Entity,Code,Year,butterfly_population_smoothed_index,butterfly_population_unsmoothed_index
All UK resident species,,1976,64.95,100
All UK resident species,,1977,64.74,39.17
All UK resident species,,1978,64.53,55.85
All UK resident species,,1979,64.31,59.98
All UK resident species,,1980,64.1,55.98
All UK resident species,,1981,63.89,38.64
All UK resident species,,1982,63.68,70.63
All UK resident species,,1983,63.46,63.1
All UK resident species,,1984,63.25,84.53
All UK resident species,,1985,63.04,62.52
All UK resident species,,1986,62.83,57.94
All UK resident species,,1987,62.61,58.21
All UK resident species,,1988,62.4,50.12
All UK resident species,,1989,62.19,66.37
All UK resident species,,1990,61.98,70.63
All UK resident species,,1991,61.77,66.68
All UK resident species,,1992,61.55,83.75
All UK resident species,,1993,61.34,55.98
All UK resident species,,1994,61.13,61.24
All UK resident species,,1995,60.92,71.78
All UK resident species,,1996,60.7,72.11
All UK resident species,,1997,60.49,75.34
All UK resident species,,1998,60.28,53.33
All UK resident species,,1999,60.07,53.09
All UK resident species,,2000,59.85,56.1
All UK resident species,,2001,59.64,52.97
All UK resident species,,2002,59.43,51.52
All UK resident species,,2003,59.22,62.52
All UK resident species,,2004,59.01,65.61
All UK resident species,,2005,58.79,60.12
All UK resident species,,2006,58.58,65.77
All UK resident species,,2007,58.37,45.29
All UK resident species,,2008,58.16,42.17
All UK resident species,,2009,57.94,56.1
All UK resident species,,2010,57.73,65.92
All UK resident species,,2011,57.52,62.52
All UK resident species,,2012,57.31,35.81
All UK resident species,,2013,57.09,59.02
All UK resident species,,2014,56.88,59.84
All UK resident species,,2015,56.67,53.83
All UK resident species,,2016,56.46,42.46
All UK resident species,,2017,56.24,50.12
All UK resident species,,2018,56.03,67.3
All UK resident species,,2019,55.82,65.92
All UK resident species,,2020,55.61,62.52
All UK resident species,,2021,55.4,56.89
Farmland species,,1990,111.23,100
Farmland species,,1991,110.35,123.31
Farmland species,,1992,109.46,127.64
Farmland species,,1993,108.57,79.62
Farmland species,,1994,107.69,92.26
Farmland species,,1995,106.8,108.39
Farmland species,,1996,105.9,122.17
Farmland species,,1997,104.97,137.72
Farmland species,,1998,104.02,105.19
Farmland species,,1999,103.05,95.06
Farmland species,,2000,102.07,102.56
Farmland species,,2001,101.11,93.76
Farmland species,,2002,100.17,92.68
Farmland species,,2003,99.25,114.02
Farmland species,,2004,98.36,112.2
Farmland species,,2005,97.52,99.54
Farmland species,,2006,96.73,99.08
Farmland species,,2007,96.02,73.28
Farmland species,,2008,95.41,68.87
Farmland species,,2009,94.9,98.17
Farmland species,,2010,94.5,101.62
Farmland species,,2011,94.19,92.26
Farmland species,,2012,93.98,58.48
Farmland species,,2013,93.86,109.9
Farmland species,,2014,93.82,103.75
Farmland species,,2015,93.83,95.72
Farmland species,,2016,93.9,71.78
Farmland species,,2017,94.01,91.2
Farmland species,,2018,94.16,110.15
Farmland species,,2019,94.31,110.66
Farmland species,,2020,94.46,103.27
Farmland species,,2021,94.61,89.13
Habitat specialist,,1976,57.66,100
Habitat specialist,,1977,53.11,26.49
Habitat specialist,,1978,48.99,43.05
Habitat specialist,,1979,45.47,39.99
Habitat specialist,,1980,42.65,39.72
Habitat specialist,,1981,40.58,20.84
Habitat specialist,,1982,39.28,40.74
Habitat specialist,,1983,38.57,35.32
Habitat specialist,,1984,38.31,49.89
Habitat specialist,,1985,38.29,42.07
Habitat specialist,,1986,38.43,37.5
Habitat specialist,,1987,38.71,43.25
Habitat specialist,,1988,39.06,32.81
Habitat specialist,,1989,39.48,38.28
Habitat specialist,,1990,39.92,44.16
Habitat specialist,,1991,40.28,35.32
Habitat specialist,,1992,40.53,49.55
Habitat specialist,,1993,40.6,38.55
Habitat specialist,,1994,40.47,41.69
Habitat specialist,,1995,40.14,46.03
Habitat specialist,,1996,39.6,43.25
Habitat specialist,,1997,38.91,44.16
Habitat specialist,,1998,38.15,30.41
Habitat specialist,,1999,37.46,32.96
Habitat specialist,,2000,36.91,34.43
Habitat specialist,,2001,36.53,33.73
Habitat specialist,,2002,36.3,30.41
Habitat specialist,,2003,36.19,37.58
Habitat specialist,,2004,36.12,40.46
Habitat specialist,,2005,36.01,38.99
Habitat specialist,,2006,35.83,45.92
Habitat specialist,,2007,35.58,29.99
Habitat specialist,,2008,35.34,26.61
Habitat specialist,,2009,35.16,34.04
Habitat specialist,,2010,35,44.36
Habitat specialist,,2011,34.79,43.95
Habitat specialist,,2012,34.58,23.28
Habitat specialist,,2013,34.5,34.67
Habitat specialist,,2014,34.54,38.19
Habitat specialist,,2015,34.74,32.81
Habitat specialist,,2016,35.15,26.92
Habitat specialist,,2017,35.79,29.58
Habitat specialist,,2018,36.63,41.3
Habitat specialist,,2019,37.54,42.36
Habitat specialist,,2020,38.48,39.63
Habitat specialist,,2021,39.42,39.81
Non-specialists,,1976,72.35,100
Non-specialists,,1977,73.09,47.1
Non-specialists,,1978,73.85,62.66
Non-specialists,,1979,74.63,71.29
Non-specialists,,1980,75.43,63.1
Non-specialists,,1981,76.24,55.21
Non-specialists,,1982,77.04,95.28
Non-specialists,,1983,77.79,87.9
Non-specialists,,1984,78.47,111.94
Non-specialists,,1985,79.08,72.95
Non-specialists,,1986,79.61,70.31
Non-specialists,,1987,80.08,61.94
Non-specialists,,1988,80.48,60.12
Non-specialists,,1989,80.82,89.95
Non-specialists,,1990,81.05,88.51
Non-specialists,,1991,81.15,98.86
Non-specialists,,1992,81.11,110.91
Non-specialists,,1993,80.92,63.53
Non-specialists,,1994,80.61,70.47
Non-specialists,,1995,80.18,87.5
Non-specialists,,1996,79.63,94.41
Non-specialists,,1997,78.97,101.15
Non-specialists,,1998,78.2,73.96
Non-specialists,,1999,77.38,66.99
Non-specialists,,2000,76.52,71.78
Non-specialists,,2001,75.64,65.16
Non-specialists,,2002,74.78,68.55
Non-specialists,,2003,73.93,81.66
Non-specialists,,2004,73.1,83.56
Non-specialists,,2005,72.31,72.44
Non-specialists,,2006,71.57,73.28
Non-specialists,,2007,70.9,53.33
Non-specialists,,2008,70.33,52.48
Non-specialists,,2009,69.86,72.78
Non-specialists,,2010,69.48,76.38
Non-specialists,,2011,69.2,69.02
Non-specialists,,2012,69.01,43.05
Non-specialists,,2013,68.91,79.25
Non-specialists,,2014,68.88,73.45
Non-specialists,,2015,68.92,69.18
Non-specialists,,2016,69.01,52.48
Non-specialists,,2017,69.15,66.68
Non-specialists,,2018,69.32,86.1
Non-specialists,,2019,69.49,80.35
Non-specialists,,2020,69.65,77.27
Non-specialists,,2021,69.81,63.1
Woodland species,,1990,94.04,100
Woodland species,,1991,90.54,92.47
Woodland species,,1992,87.07,110.91
Woodland species,,1993,83.63,56.75
Woodland species,,1994,80.34,61.66
Woodland species,,1995,77.22,87.5
Woodland species,,1996,74.21,87.3
Woodland species,,1997,71.3,89.95
Woodland species,,1998,68.54,58.21
Woodland species,,1999,66,50.93
Woodland species,,2000,63.74,52.48
Woodland species,,2001,61.77,50.93
Woodland species,,2002,60.07,57.94
Woodland species,,2003,58.58,70.96
Woodland species,,2004,57.22,70.96
Woodland species,,2005,55.96,60.12
Woodland species,,2006,54.83,58.34
Woodland species,,2007,53.85,41.21
Woodland species,,2008,53.06,38.37
Woodland species,,2009,52.45,56.89
Woodland species,,2010,51.99,64.12
Woodland species,,2011,51.63,56.75
Woodland species,,2012,51.39,32.43
Woodland species,,2013,51.27,59.02
Woodland species,,2014,51.26,53.46
Woodland species,,2015,51.32,51.29
Woodland species,,2016,51.46,36.81
Woodland species,,2017,51.67,49.32
Woodland species,,2018,51.88,69.5
Woodland species,,2019,52.05,59.57
Woodland species,,2020,52.16,57.81
Woodland species,,2021,52.23,40.74